Job Title,Company Name,Location,Job Type,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL,Location Clean,Min Salary,Max Salary,Average Salary
Sosial Media Marketinq (SMM) mütəxəssisi,Saat Store,"Bakı, Nizami 92",Tam-ştat,Marketinq menecment,500 - 800 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/sosial-media-marketinq-smm-mutexessisi-1104560,https://www.hellojob.az/resized/companies/b57a7989e568e94c80bea09bd345cf90-120--resize.webp,Bakı,500.0,800.0,650.0
Mühasib,AGROVITA MMC,"Bakı, Xəzər rayonu, Binə qəsəbəsi",Tam-ştat,Mühasibat,800 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/muhasib-1103765,https://www.hellojob.az/resized/companies/02cb8fd277ae525b92759b046418a5d5-120--resize.webp,Bakı,800.0,800.0,800.0
Optika üzrə mütəxəssis,"""AzəriMed"" QSC","Bakı, Baku, Azərbaycan",Tam-ştat,Tibb təmsilçisi,450 - 600 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/optika-uzre-mutexessis-1102570,https://www.hellojob.az/resized/companies/KkVZV0CBn26Yi4brfuBg9ixjm8kOa1jGwQSbLhJF-120--resize.webp,Bakı,450.0,600.0,525.0
Satış təmsilçisi,"""ATAPACK""MMC","Bakı, Balaxanı Sənaye Parkı",Tam-ştat,Digər,Razılaşma ilə,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/satis-temsilcisi-1102369,Unknown,Bakı,Unknown,Unknown,Unknown
Xadimə,MAYA UŞAQ BAĞÇASI,"Bakı, Hesen eliyev Tiblisi prospekti",Tam-ştat,Digər,300 - 400 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/xadime-1101583,Unknown,Bakı,300.0,400.0,350.0
Bağça müəllimi,MAYA UŞAQ BAĞÇASI,"Bakı, Neftçilər Start idman kompleksi ile uzbe uz Elşen Seferov küçesi",Tam-ştat,Digər,350 - 450 AZN,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/bagca-muellimi-1101386,Unknown,Bakı,350.0,450.0,400.0
Reservation Manager,Caspian Charm,"Bakı, Yusifbey Ibrahimli 16",Tam-ştat,Turizm və mehmanxana işi,Razılaşma ilə,23 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/reservation-manager,https://www.hellojob.az/resized/companies/1cc254fefb15925f3fa76d6883969367-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Funksional Sahə Lideri,Ak Vent GROUP MMC,"Bakı, Binəqədi rayonu, Azadlıq metrosunun yaxınlığı, 7 MKR, keçid 1260",Tam-ştat,Tikinti,700 - 1000 AZN,23 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/funksional-sahe-lideri-1088189,https://www.hellojob.az/resized/companies/e8bc2a30695c017e80e91e39166d385d-120--resize.webp,Bakı,700.0,1000.0,850.0
Biznes Analitik,Kapital Bank,"Bakı, Mərkəz filialı, Baku, Azerbaijan",Tam-ştat,Maliyyə analiz,Razılaşma ilə,24 aprel 2025,15 may 2025,https://www.hellojob.az/vakansiya/biznes-analitik-3996,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Bakı,Unknown,Unknown,Unknown
Mikrokreditlər bölməsinin kiçik mütəxəssisi/mütəxəssisi / Ağcabədi filialı,Kapital Bank,"Ağcabədi, Ağcabədi rayon filialı, Аğcаbədi şəhəri, F.Əlizаdə küçəsi 5",Tam-ştat,Kredit mütəxəssisi,Razılaşma ilə,24 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/mikrokreditler-bolmesinin-kicik-mutexessisi-mutexessisi-agcabedi-filiali-4608,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Ağcabədi,Unknown,Unknown,Unknown
Nəzarət departamentinin Xarici Nəzarət şöbəsinin mütəxəssisi,Kapital Bank,Bakı,Tam-ştat,Digər,Razılaşma ilə,24 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/nezaret-departamentinin-xarici-nezaret-sobesinin-mutexessisi-4035,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Bakı,Unknown,Unknown,Unknown
Nəzarət departamentinin Biznes kreditlərinin monitorinqi şöbəsinin mütəxəssisi,Kapital Bank,Bakı,Tam-ştat,Digər,Razılaşma ilə,24 aprel 2025,08 may 2025,https://www.hellojob.az/vakansiya/nezaret-departamentinin-biznes-kreditlerinin-monitorinqi-sobesinin-mutexessisi-4443,https://www.hellojob.az/storage/companies/0b19d066c7eb9fa635850615d2e16921.svg,Bakı,Unknown,Unknown,Unknown
